batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,4342220.0,11,1151.69,0.0
1,80,4520419.3,9,1151.35,0.0
2,120,4584848.3,12,1137.0,0.0
3,160,4613668.4,16,1137.0,0.0
4,200,4687143.8,18,1124.81,0.0
5,240,4740435.7,19,1124.81,0.0
