batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,60,4391946.4,11,1142.26,0.0
1,120,4480490.0,8,1142.26,0.0
2,180,4581977.2,13,1123.19,0.0
3,240,4641157.2,15,1123.19,0.0
