batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,8700186.0,6,529.58,0.0
1,80,8733814.5,6,522.15,0.0
2,120,8768070.1,6,522.15,0.0
3,160,8796734.5,7,521.05,0.0
4,200,8822652.7,5,519.64,0.0
5,240,8826352.4,11,519.07,0.0
