batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,20,8702166.7,5,528.53,0.0
1,40,8722267.5,9,528.1,0.0
2,60,8760836.6,7,526.73,0.0
3,80,8794387.3,9,520.77,0.0
4,100,8799147.5,12,520.77,0.0
5,120,8810049.6,11,520.77,0.0
6,140,8820601.3,12,520.77,0.0
7,160,8838398.2,13,518.11,0.0
8,180,8841598.1,16,518.11,0.0
9,200,8844285.3,17,518.11,0.0
10,220,8847693.2,17,518.11,0.0
11,240,8847813.1,19,518.11,0.0
