batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,8723323.6,8,522.18,0.0
1,80,8746925.6,11,522.18,0.0
2,120,8789700.0,9,520.87,0.0
3,160,8810087.5,8,520.87,0.0
4,200,8816099.6,11,520.87,0.0
5,240,8836470.7,13,515.74,0.0
