cost,evac,widths
0.0,578.22,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
8.42,578.01,"[0,0,0,0,0,0,0,0,2,0,0,0,0,0,0]"
200.24,558.78,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
208.66,557.56,"[0,0,2,0,0,0,0,0,2,0,0,0,0,0,0]"
403.34,556.5,"[0,0,2,2,0,0,0,0,4,0,0,0,0,0,0]"
422.95,554.79,"[0,0,2,0,0,0,0,0,2,2,0,0,0,0,0]"
632.85,554.64,"[0,0,2,0,0,0,0,0,2,4,0,0,0,0,0]"
811.44,546.6,"[0,0,0,0,0,0,0,0,2,2,2,0,4,0,0]"
867.49,534.92,"[0,0,2,0,0,0,0,0,2,0,4,0,2,0,0]"
924.76,534.02,"[0,0,4,0,0,0,0,0,4,0,0,0,4,0,2]"
1314.39,527.67,"[0,0,4,2,0,0,0,0,2,2,0,0,4,0,2]"
1371.98,525.86,"[0,0,4,0,0,0,0,0,2,2,2,0,4,0,2]"
1634.46,525.17,"[0,0,4,0,0,0,2,0,2,0,4,0,4,0,2]"
1765.69,524.84,"[0,0,2,0,0,0,0,0,2,4,2,0,4,4,0]"
1924.43,520.79,"[0,0,4,0,0,0,0,0,4,2,2,0,4,4,2]"
2490.05,520.69,"[0,0,4,0,0,0,0,0,4,2,2,4,4,4,2]"
