batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,8718870.7,7,526.21,0.0
1,80,8745362.2,11,522.28,0.0
2,120,8801305.0,10,520.22,0.0
3,160,8821255.6,12,518.94,0.0
4,200,8839565.3,10,518.74,0.0
5,240,8842947.3,11,518.74,0.0
