cost,evac,widths
0.0,579.31,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
386.58,557.72,"[0,0,2,2,0,0,0,0,0,0,0,0,0,0,0]"
645.82,555.1,"[2,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
710.86,543.34,"[0,2,2,0,0,0,0,0,0,0,0,0,2,0,0]"
1197.5,542.48,"[2,0,2,2,0,0,0,0,0,0,0,0,2,0,4]"
1284.08,538.2,"[2,0,2,2,0,0,0,0,0,4,0,0,2,0,0]"
1363.27,532.19,"[2,0,2,0,0,0,2,0,0,2,2,0,2,0,0]"
1503.88,531.05,"[0,0,2,0,0,0,4,0,0,0,4,0,4,0,0]"
1730.2,523.56,"[2,0,4,2,0,0,0,0,4,0,4,0,4,0,0]"
2200.02,522.6,"[2,0,4,4,0,0,0,0,0,0,2,0,4,4,0]"
2459.39,521.08,"[2,0,4,4,0,0,0,0,4,0,4,0,4,4,0]"
2464.19,520.93,"[2,0,4,2,0,0,0,0,2,0,2,2,4,4,2]"
2903.07,515.74,"[4,0,4,2,0,0,0,0,4,4,2,0,4,4,2]"
