cost,evac,widths
0.0,578.02,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
234.16,577.68,"[0,0,0,0,0,0,2,0,0,0,0,0,0,0,0]"
350.66,560.99,"[0,0,0,0,0,0,0,0,2,0,0,0,2,0,2]"
535.91,560.31,"[0,2,2,0,0,0,0,0,0,0,0,0,0,0,0]"
600.87,555.01,"[0,0,2,2,0,0,0,0,0,2,0,0,0,0,0]"
742.3,538.95,"[0,0,4,0,0,0,0,0,0,0,0,0,2,0,2]"
788.97,535.54,"[0,0,2,0,0,0,0,0,0,0,2,0,4,0,0]"
1232.25,530.71,"[0,0,2,2,0,0,0,0,2,2,0,0,4,2,0]"
1472.53,527.34,"[0,0,2,0,0,0,0,0,4,4,4,0,4,0,0]"
1652.5,527.24,"[0,0,4,2,0,0,0,0,4,4,0,2,4,0,0]"
1675.0,526.62,"[0,0,2,2,0,0,0,0,0,4,2,0,4,2,0]"
1748.03,524.69,"[0,0,2,0,0,0,0,0,4,4,4,0,4,2,0]"
2674.09,522.17,"[0,0,4,2,2,0,0,0,0,0,2,4,4,4,0]"
2788.04,518.52,"[4,0,2,2,0,0,0,0,4,4,4,0,4,4,0]"
