cost,evac,widths
0.0,579.41,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
833.21,572.56,"[0,0,0,0,0,0,0,0,0,0,4,0,0,0,4]"
856.47,553.33,"[0,0,2,0,0,0,0,0,0,0,4,0,0,0,2]"
1374.37,534.25,"[2,0,2,0,0,0,0,0,4,0,2,0,2,2,2]"
1716.33,532.79,"[0,4,2,0,0,0,0,0,2,0,4,0,4,0,0]"
1800.34,525.51,"[2,0,2,0,0,0,0,0,2,0,2,0,4,4,2]"
2108.01,525.42,"[2,2,4,0,0,0,2,0,2,0,4,0,4,0,0]"
2720.67,522.38,"[4,0,2,0,0,0,2,0,0,0,4,0,4,4,4]"
2771.08,520.35,"[2,0,4,0,0,2,2,0,0,4,4,0,4,2,0]"
3553.27,519.92,"[2,2,4,4,2,0,2,0,4,2,2,0,4,4,2]"
3635.4,516.94,"[2,2,4,4,2,0,2,0,4,2,4,0,4,4,0]"
4778.73,515.63,"[4,4,4,2,0,0,2,0,2,4,4,4,4,4,4]"
