cost,evac,widths
0.0,578.15,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
16.76,576.9,"[0,0,0,0,0,0,0,0,4,0,0,0,0,0,0]"
400.06,554.38,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
842.1,552.16,"[0,0,0,0,0,0,0,0,0,2,0,2,4,0,0]"
1093.09,534.39,"[0,0,4,0,0,0,2,0,2,0,0,0,2,2,0]"
1228.31,531.34,"[0,0,4,2,0,0,0,0,4,0,0,2,4,0,0]"
1403.52,522.17,"[0,0,4,2,0,0,0,0,4,2,2,0,4,0,0]"
2004.72,521.12,"[2,0,4,2,0,0,0,0,4,2,0,0,4,4,0]"
2214.62,521.06,"[2,0,4,2,0,0,0,0,4,4,0,0,4,4,0]"
2222.12,521.0,"[2,0,4,2,0,0,2,0,0,2,0,0,4,4,0]"
2620.67,518.9,"[4,0,4,0,0,0,0,0,2,4,4,0,2,4,0]"
3017.38,516.48,"[2,2,4,2,0,0,2,0,2,4,2,0,4,4,0]"
