cost,evac,widths
0.0,579.4,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
298.36,575.88,"[2,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
450.45,558.37,"[0,0,0,0,0,0,0,0,0,0,0,0,2,2,0]"
588.73,551.71,"[0,0,0,0,0,0,0,0,0,0,2,0,4,0,0]"
931.04,540.59,"[0,0,2,0,0,0,0,0,0,0,0,2,2,2,0]"
1058.86,531.7,"[0,0,4,0,0,0,2,0,2,0,2,0,2,0,0]"
1353.24,528.98,"[0,0,2,0,0,0,0,0,2,0,2,2,4,2,0]"
1602.97,526.35,"[0,0,4,0,0,0,2,0,2,0,2,0,2,4,0]"
2109.69,525.62,"[0,0,4,2,0,0,0,0,0,0,2,4,2,4,0]"
2471.84,515.69,"[2,0,4,2,0,0,0,0,0,2,4,0,4,4,0]"
