batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,8719412.3,6,526.21,0.0
1,80,8790188.4,6,524.11,0.0
2,120,8808364.2,9,521.12,0.0
3,160,8819350.0,11,520.34,0.0
4,200,8826592.5,11,519.05,0.0
5,240,8839014.3,12,516.48,0.0
