batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,8722283.9,8,522.35,0.0
1,80,8748927.9,8,520.9,0.0
2,120,8779114.1,9,520.9,0.0
3,160,8802051.5,9,520.86,0.0
4,200,8811275.5,13,519.39,0.0
5,240,8839272.9,10,515.69,0.0
