cost,evac,widths
0.0,578.33,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
470.71,577.22,"[2,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
535.91,559.01,"[0,2,2,0,0,0,0,0,0,0,0,0,0,0,0]"
811.41,555.25,"[0,2,2,0,0,0,0,0,0,0,0,0,0,2,0]"
908.08,554.68,"[0,2,4,0,0,0,0,0,0,0,0,0,0,0,2]"
950.76,538.16,"[0,0,2,0,0,0,2,0,2,0,0,0,4,0,2]"
1404.79,534.74,"[0,0,2,0,0,0,0,0,2,2,2,4,2,0,0]"
1429.48,534.22,"[0,0,2,0,0,0,0,0,4,4,0,2,4,0,2]"
1458.93,530.32,"[2,0,2,0,0,0,0,0,0,0,2,0,2,4,0]"
1986.63,521.53,"[2,0,4,0,0,0,2,0,2,2,4,0,4,0,0]"
2625.49,520.88,"[0,0,4,0,0,0,2,0,2,2,4,4,2,4,0]"
2762.83,519.88,"[4,0,2,2,0,0,2,0,0,4,2,0,4,4,0]"
