cost,evac,widths
0.0,578.12,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
807.45,555.18,"[0,0,0,0,0,0,2,0,4,2,0,0,2,0,2]"
1048.72,548.47,"[0,0,0,0,0,0,2,0,4,2,2,0,2,0,2]"
1219.82,533.8,"[0,0,4,0,0,0,4,0,0,0,0,0,4,0,0]"
1572.3,528.5,"[2,0,4,0,0,0,2,0,4,0,0,0,4,2,0]"
2250.9,528.3,"[4,0,2,0,0,0,2,0,4,0,4,2,2,2,0]"
2332.16,524.73,"[2,2,4,0,0,0,2,0,4,4,0,0,4,2,0]"
2415.07,524.69,"[4,0,2,0,0,0,2,0,2,0,4,2,4,2,0]"
2786.02,522.3,"[2,0,4,2,0,0,4,0,0,2,0,0,4,4,4]"
3230.98,522.0,"[2,4,2,2,0,0,2,0,2,4,4,0,2,4,0]"
