cost,evac,widths
0.0,578.09,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
8.42,577.94,"[0,0,0,0,0,0,0,0,2,0,0,0,0,0,0]"
174.95,560.99,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,555.98,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
400.06,554.4,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
575.01,539.95,"[0,0,4,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,535.41,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
755.94,535.25,"[0,0,4,0,0,0,0,0,2,0,0,0,4,0,0]"
931.2,531.42,"[0,0,4,2,0,0,0,0,0,0,0,0,4,0,0]"
989.74,531.0,"[0,0,4,2,0,0,0,0,4,2,0,0,2,0,0]"
1091.78,530.65,"[0,0,4,0,0,0,0,0,0,0,2,0,2,2,0]"
1165.36,529.79,"[0,0,4,2,0,0,2,0,0,0,0,0,4,0,0]"
1405.87,529.56,"[0,0,4,0,0,0,2,0,0,4,0,0,4,0,0]"
1494.33,528.46,"[2,0,4,0,0,0,2,0,0,2,0,0,4,0,0]"
1505.06,527.75,"[2,0,4,2,0,0,0,0,0,0,0,0,4,2,0]"
1620.92,523.09,"[0,0,4,2,0,0,2,0,0,2,2,0,4,0,0]"
1988.94,520.88,"[2,0,4,2,0,0,0,0,0,0,4,0,4,2,0]"
2121.1,519.91,"[2,0,4,2,0,0,0,0,0,2,2,0,4,2,2]"
2203.23,518.11,"[2,0,4,2,0,0,0,0,0,2,4,0,4,2,0]"
