cost,evac,widths
0.0,579.41,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
241.27,571.26,"[0,0,0,0,0,0,0,0,0,0,2,0,0,0,0]"
641.19,554.58,"[0,0,2,0,0,0,0,0,4,4,0,0,0,0,0]"
914.49,552.19,"[0,0,0,0,0,0,0,0,0,0,2,0,4,0,4]"
988.39,548.66,"[2,0,2,0,0,0,0,0,0,2,0,0,0,2,0]"
1164.06,548.3,"[2,0,2,0,0,0,0,0,0,4,2,0,0,0,0]"
1185.04,533.44,"[0,0,4,4,0,0,0,0,0,0,2,0,2,0,0]"
1482.15,532.01,"[0,0,4,4,0,0,0,0,4,0,2,2,2,0,0]"
1548.83,531.54,"[0,2,2,0,0,0,0,0,0,4,2,0,4,0,0]"
1837.28,530.52,"[2,0,2,0,0,0,0,0,0,4,2,0,4,0,4]"
1847.59,527.31,"[0,0,2,0,0,0,2,0,0,0,2,2,4,4,0]"
1927.73,520.74,"[2,0,4,2,0,0,0,0,0,2,4,0,4,0,0]"
2975.67,519.72,"[2,0,4,4,0,2,0,0,2,2,4,0,4,4,0]"
3037.46,515.52,"[2,0,4,2,0,0,0,0,0,2,4,4,4,4,0]"
