cost,evac,widths
0.0,578.12,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
217.0,557.55,"[0,0,2,0,0,0,0,0,4,0,0,0,0,0,0]"
383.61,541.86,"[0,0,2,0,0,0,0,0,2,0,0,0,2,0,0]"
858.93,534.86,"[0,0,4,0,0,0,0,0,2,0,0,0,2,2,0]"
1095.06,532.88,"[0,0,2,2,0,0,0,0,4,0,2,0,2,2,0]"
1496.51,531.16,"[0,0,2,2,0,0,2,0,4,0,2,0,2,2,2]"
1599.91,528.46,"[0,0,4,2,0,0,0,0,4,0,0,2,2,4,0]"
1665.46,525.58,"[0,0,4,2,0,0,0,0,2,2,2,0,2,2,2]"
1733.34,520.95,"[0,0,4,2,0,0,0,0,4,0,2,0,4,4,0]"
2041.06,520.69,"[0,0,4,2,0,0,0,0,2,4,2,0,4,2,2]"
2918.5,518.74,"[0,0,4,2,0,0,4,0,2,4,2,4,4,2,0]"
