cost,evac,widths
0.0,578.16,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
208.66,558.94,"[0,0,2,0,0,0,0,0,2,0,0,0,0,0,0]"
551.8,556.17,"[0,0,0,2,0,0,0,0,4,0,0,0,4,0,0]"
627.81,555.83,"[0,0,0,0,0,0,0,0,0,0,0,2,4,0,0]"
803.02,546.48,"[0,0,0,0,0,0,0,0,0,2,2,0,4,0,0]"
1283.74,543.71,"[0,0,0,0,0,0,4,0,2,2,2,0,4,0,0]"
1382.04,539.42,"[0,0,4,0,0,0,2,0,4,2,2,0,0,2,0]"
1456.03,531.48,"[0,0,2,2,0,0,4,0,2,0,2,0,4,0,0]"
1483.98,528.57,"[0,0,2,0,0,0,4,0,2,2,2,0,4,0,0]"
2483.17,527.69,"[2,0,2,2,0,2,4,0,2,4,2,0,4,0,0]"
2550.81,524.96,"[0,0,2,2,0,2,2,0,2,4,2,0,4,2,4]"
2577.64,523.88,"[0,2,4,2,2,0,0,0,0,2,0,0,4,4,2]"
3372.01,522.19,"[2,0,4,2,2,2,4,0,0,2,4,0,4,2,0]"
3533.82,518.2,"[0,2,4,2,2,0,4,0,0,2,4,0,4,4,2]"
