batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,8725553.2,8,522.18,0.0
1,80,8765211.5,6,520.54,0.0
2,120,8799411.9,6,520.54,0.0
3,160,8806037.7,7,520.54,0.0
4,200,8810472.1,9,519.88,0.0
5,240,8818004.5,12,519.88,0.0
