batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,8702673.7,6,528.35,0.0
1,80,8726064.6,7,525.8,0.0
2,120,8778135.5,8,524.34,0.0
3,160,8797186.6,9,524.34,0.0
4,200,8801731.2,10,524.34,0.0
5,240,8822085.0,11,521.58,0.0
