cost,evac,widths
0.0,578.07,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
885.65,557.6,"[0,0,0,4,0,0,0,0,0,0,0,0,4,0,2]"
931.2,531.53,"[0,0,4,2,0,0,0,0,0,0,0,0,4,0,0]"
1211.55,531.37,"[0,0,4,2,0,0,0,0,0,0,0,2,4,0,0]"
1792.17,529.12,"[0,0,2,2,0,0,2,0,2,2,0,0,4,2,4]"
1949.55,528.71,"[0,0,2,2,0,2,2,0,2,4,2,0,4,0,0]"
1977.71,527.35,"[0,0,4,0,0,2,0,0,0,0,4,0,4,2,2]"
2181.36,526.1,"[2,0,4,2,0,2,2,0,2,0,2,0,4,0,2]"
2251.37,523.14,"[0,0,4,2,2,0,0,0,2,0,4,0,4,2,2]"
2335.42,522.02,"[0,2,4,2,0,0,0,0,0,4,4,0,4,0,2]"
3759.99,521.39,"[4,4,4,4,2,0,0,0,4,2,4,0,4,2,0]"
4901.3,519.64,"[4,4,4,2,2,2,2,0,0,4,2,4,4,4,0]"
