batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,8722849.0,8,522.45,0.0
1,80,8745770.7,6,522.45,0.0
2,120,8778588.9,9,520.85,0.0
3,160,8798587.5,10,520.85,0.0
4,200,8815828.2,15,516.67,0.0
5,240,8831391.6,14,515.52,0.0
