batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,60,8721651.4,8,524.93,0.0
1,120,8749791.3,7,522.0,0.0
2,180,8786098.4,6,522.0,0.0
3,240,8799717.9,10,522.0,0.0
