ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,238.605,128.829,180.14,375.819,66.6338,402.277,0,80.5182,158.087,2.96337
2,355.012,96.1848,305.949,747.076,311.791,818.276,0,60.1155,294.897,5.90551
3,797.552,300.671,302.54,453.289,67.6816,404.833,0,187.919,609.633,4.24412
4,210.004,149.441,314.785,697.866,313.849,818.424,0,93.4006,116.603,2.24842
5,733.268,205.066,282.523,365.893,251.514,184.399,0,128.166,605.102,5.72124
6,1621.45,315.722,361.908,426.724,349.613,174.569,0,197.326,1424.12,8.2171
7,315.11,109.091,422.435,232.046,355.193,174.523,0,68.1821,246.928,4.62159
8,798.052,238.465,295.835,357.88,253.141,183.439,0,149.041,649.011,5.35459
9,728.169,251.412,276.647,545.603,144.699,615.675,0,157.133,571.036,4.6341
10,380.114,133.827,197.544,403.147,67.799,405.075,0,83.6422,296.472,4.54452
11,1158.46,218.523,504.798,519.651,613.168,612.868,0,136.577,1021.89,8.48213
12,158.1,66.5735,132.996,397.613,67.1461,403.368,0,41.6084,116.492,3.79972
13,159.701,88.957,526.682,767.378,611.098,755.019,0,55.5981,104.102,2.87241
14,802.951,300.56,305.568,504.866,139.942,611.089,0,187.85,615.101,4.27442
15,1399.11,257.985,483.202,348.495,630.283,334.097,0,161.241,1237.86,8.67713
16,498.721,254.64,401.276,632.313,313.398,818.173,0,159.15,339.571,3.13365
17,940.617,162.803,496.028,180.851,356.335,173.111,0,101.752,838.865,9.24422
18,1744.62,345.263,360.163,437.596,349.916,174.831,0,215.789,1528.83,8.08484
19,320.01,168.74,367.81,674.958,315.477,819.13,0,105.462,214.548,3.03436
20,1699.83,295.949,431.899,434.835,615.548,540.212,0,184.968,1514.86,9.18987
21,129.499,42.9788,571.359,618.036,613.225,612.574,0,26.8618,102.637,4.82093
22,3.6,2.56866,69.5168,402.649,67.079,403.459,0,1.60541,1.99459,2.24242
23,315.41,113.972,176.31,408.282,67.4735,404.255,0,71.2327,244.177,4.42788
24,1086.88,340.06,328.354,474.654,144.499,616.758,0,212.537,874.344,5.11384
25,352.812,115.737,251.376,615.816,144.848,616.243,0,72.3356,280.477,4.87744
26,560.01,210.503,216.941,479.791,144.691,615.697,0,131.564,428.446,4.25656
27,1090.58,200.689,514.227,453.448,615.477,539.812,0,125.43,965.15,8.6947
28,107.099,66.1189,200.853,695.378,153.726,700.217,0,41.3243,65.7746,2.59167
29,824.946,196.69,379.112,303.039,349.502,174.622,0,122.931,702.014,6.71061
30,1436.9,304.001,351.988,363.035,349.908,174.755,0,190,1246.9,7.5626
31,29.4001,12.8194,366.128,181.607,355.772,174.332,0,8.0121,21.388,3.66946
32,668.284,219.456,241.911,430.811,67.6103,405.735,0,137.16,531.124,4.87229
33,491.021,176.316,232.333,521.229,141.554,611.805,0,110.197,380.823,4.45583
34,563.11,166.479,192.527,334.499,67.0287,403.212,0,104.049,459.06,5.41195
35,1909.48,215.535,139.079,540.154,123.694,538.48,1,134.709,1774.77,14.1749
36,112.599,70.0104,328.292,752.507,312.279,818.083,0,43.7565,68.8423,2.5733
37,1672.04,385.93,352.738,432.083,349.486,174.621,0,241.206,1430.83,6.93198
38,833.344,309.503,314.53,441.611,67.5615,404.562,0,193.439,639.904,4.30803
39,372.214,145.189,520.631,143.88,654.02,131.332,0,90.7432,281.47,4.10183
40,403.615,122.504,150.685,494.494,139.61,611.156,0,76.5648,327.051,5.27155
41,593.502,191.125,228.385,543.782,144.714,616.318,0,119.453,474.049,4.96849
42,1909.48,309.902,447.521,391.795,595.062,337.892,1,193.689,1715.79,9.85851
43,659.286,192.268,293.733,337.526,252.595,184.017,0,120.167,539.119,5.4864
44,678.281,260.73,281.208,521.437,139.871,611.073,0,162.956,515.325,4.16235
45,114.299,54.5243,609.34,149.988,654.457,132.602,0,34.0777,80.2211,3.35407
46,601.3,150.527,449.286,139.368,356.35,173.152,0,94.0796,507.221,6.3914
47,366.813,138.469,226.952,595.748,144.723,615.603,0,86.5433,280.27,4.23849
48,31.7001,28.6035,321.113,790.667,314.485,818.716,0,17.8772,13.8229,1.77321
49,851.339,191.342,191.176,332.369,249.172,185.126,0,119.589,731.75,7.11889
50,492.121,151.926,270.918,612.749,144.737,615.59,0,94.9539,397.167,5.18274
