Generation,Run_ID,Final_Fitness,Evac_Score,Cost_Score,Solution_Widths
1,1,1784.5691879857513,1381.2641879857513,4033.05,"[2.0, 2.0, 2.0, 4.0, 4.0, 0.0, 2.0, 4.0, 0.0, 2.0, 2.0, 4.0, 0.0, 2.0, 2.0]"
1,2,1684.6178057804404,1304.0368057804403,3805.81,"[0.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0, 4.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 0.0]"
1,3,1617.9035037148005,1311.9945037148004,3059.09,"[0.0, 0.0, 4.0, 2.0, 0.0, 2.0, 4.0, 0.0, 0.0, 4.0, 4.0, 2.0, 4.0, 4.0, 0.0]"
1,4,1724.4578708221147,1409.2728708221146,3151.8500000000004,"[0.0, 0.0, 0.0, 4.0, 0.0, 4.0, 2.0, 4.0, 2.0, 4.0, 0.0, 4.0, 4.0, 2.0, 0.0]"
1,5,1679.6652196578602,1360.6702196578601,3189.9500000000003,"[2.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 2.0, 2.0, 2.0, 0.0, 2.0, 4.0, 4.0, 2.0]"
1,6,1733.270218158635,1304.569218158635,4287.010000000001,"[4.0, 4.0, 2.0, 4.0, 4.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 0.0]"
1,7,1712.1364020564306,1364.4564020564305,3476.8,"[0.0, 2.0, 2.0, 4.0, 0.0, 2.0, 2.0, 4.0, 0.0, 2.0, 2.0, 4.0, 4.0, 0.0, 4.0]"
1,8,1743.5500903754682,1382.047090375468,3615.0300000000007,"[0.0, 4.0, 0.0, 2.0, 0.0, 4.0, 4.0, 2.0, 2.0, 2.0, 0.0, 4.0, 4.0, 0.0, 4.0]"
1,9,1620.610282486791,1316.718282486791,3038.92,"[2.0, 0.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 4.0, 2.0, 0.0]"
1,10,1604.6565048895548,1363.2935048895547,2413.6300000000006,"[2.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 4.0, 2.0, 2.0, 0.0, 0.0, 2.0, 0.0, 4.0]"
1,11,1584.3725108816682,1297.7075108816682,2866.65,"[2.0, 2.0, 4.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 2.0, 2.0, 0.0, 4.0, 2.0, 0.0]"
1,12,1773.4250962441315,1266.7590962441313,5066.660000000001,"[2.0, 2.0, 4.0, 0.0, 4.0, 2.0, 2.0, 0.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
1,13,1851.477122331276,1337.5771223312759,5139.0,"[4.0, 2.0, 2.0, 0.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0, 4.0, 2.0, 2.0, 4.0, 4.0]"
1,14,1697.3499734407578,1385.3879734407578,3119.6200000000003,"[2.0, 4.0, 4.0, 4.0, 0.0, 2.0, 0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 2.0, 4.0]"
1,15,1684.1017843478612,1359.6467843478613,3244.55,"[2.0, 4.0, 4.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 0.0, 4.0, 0.0, 0.0, 4.0, 0.0]"
1,16,1771.6491326259948,1537.3501326259948,2342.9900000000002,"[2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 4.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 4.0]"
1,17,1844.0007189403598,1380.0757189403598,4639.25,"[4.0, 4.0, 0.0, 4.0, 4.0, 2.0, 0.0, 4.0, 4.0, 0.0, 0.0, 2.0, 4.0, 2.0, 0.0]"
1,18,1778.001344888997,1307.466344888997,4705.35,"[2.0, 4.0, 4.0, 2.0, 4.0, 4.0, 2.0, 0.0, 2.0, 4.0, 0.0, 2.0, 2.0, 4.0, 4.0]"
1,19,1794.0381493745701,1376.52014937457,4175.18,"[0.0, 2.0, 0.0, 0.0, 4.0, 4.0, 0.0, 2.0, 4.0, 2.0, 4.0, 2.0, 4.0, 4.0, 0.0]"
1,20,1733.9531216806995,1313.1361216806993,4208.170000000001,"[0.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0, 0.0, 2.0, 0.0, 0.0, 0.0, 4.0, 4.0, 4.0]"
1,21,1724.7946532054007,1376.3316532054007,3484.6300000000006,"[2.0, 4.0, 0.0, 0.0, 0.0, 2.0, 4.0, 2.0, 0.0, 2.0, 4.0, 2.0, 4.0, 2.0, 0.0]"
1,22,1685.621529754676,1340.632529754676,3449.8900000000003,"[0.0, 4.0, 4.0, 0.0, 2.0, 0.0, 0.0, 4.0, 4.0, 4.0, 2.0, 4.0, 2.0, 0.0, 0.0]"
1,23,1700.1336265052928,1281.0056265052926,4191.280000000001,"[4.0, 2.0, 2.0, 4.0, 2.0, 2.0, 4.0, 0.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0]"
1,24,1726.0638921818697,1407.9868921818697,3180.7700000000004,"[4.0, 2.0, 0.0, 0.0, 0.0, 4.0, 4.0, 2.0, 2.0, 4.0, 0.0, 4.0, 2.0, 0.0, 0.0]"
1,25,1751.074569670223,1448.380569670223,3026.9400000000005,"[4.0, 0.0, 0.0, 4.0, 0.0, 0.0, 2.0, 0.0, 4.0, 4.0, 2.0, 4.0, 0.0, 2.0, 4.0]"
1,26,1671.981322724328,1445.1803227243279,2268.01,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 2.0, 2.0]"
1,27,1661.9850543938137,1319.4870543938137,3424.9800000000005,"[2.0, 0.0, 2.0, 2.0, 4.0, 0.0, 2.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 0.0, 4.0]"
1,28,1842.6499889709603,1351.0229889709601,4916.27,"[4.0, 2.0, 0.0, 4.0, 4.0, 4.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0]"
1,29,1749.8076942195598,1368.2756942195597,3815.3200000000006,"[2.0, 2.0, 2.0, 4.0, 0.0, 0.0, 0.0, 4.0, 4.0, 4.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
1,30,1636.4891170003846,1367.7971170003846,2686.92,"[4.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 2.0, 0.0, 2.0, 0.0, 2.0, 4.0, 2.0, 2.0]"
1,31,1742.7336241800954,1429.1336241800955,3136.0,"[2.0, 2.0, 0.0, 2.0, 4.0, 0.0, 2.0, 2.0, 0.0, 2.0, 2.0, 0.0, 0.0, 4.0, 2.0]"
1,32,1694.8739041237322,1379.4879041237323,3153.8600000000006,"[4.0, 0.0, 2.0, 0.0, 4.0, 2.0, 2.0, 2.0, 0.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0]"
1,33,1732.9026173589184,1354.3756173589184,3785.2700000000004,"[4.0, 0.0, 4.0, 0.0, 4.0, 0.0, 2.0, 4.0, 4.0, 2.0, 0.0, 2.0, 2.0, 0.0, 4.0]"
1,34,1848.5213968102978,1402.6663968102978,4458.55,"[2.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 2.0, 0.0, 4.0, 4.0, 2.0, 0.0, 2.0, 4.0]"
1,35,1773.953364387055,1339.5443643870549,4344.09,"[4.0, 4.0, 4.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 0.0, 2.0, 4.0, 4.0]"
1,36,1781.6240623191045,1393.1030623191045,3885.21,"[0.0, 2.0, 0.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0, 2.0, 4.0, 0.0, 2.0, 4.0, 2.0]"
1,37,1703.5411538212438,1276.3001538212436,4272.410000000001,"[2.0, 2.0, 2.0, 0.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0, 0.0, 2.0, 4.0, 4.0, 4.0]"
1,38,1781.739614274437,1418.2516142744369,3634.8800000000006,"[4.0, 4.0, 0.0, 2.0, 2.0, 4.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0, 2.0]"
1,39,1802.8164474941302,1428.9234474941302,3738.9300000000003,"[2.0, 4.0, 2.0, 0.0, 4.0, 4.0, 0.0, 4.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0]"
1,40,1691.8941457489877,1366.1621457489878,3257.32,"[0.0, 2.0, 4.0, 2.0, 2.0, 4.0, 0.0, 4.0, 0.0, 2.0, 2.0, 0.0, 2.0, 2.0, 0.0]"
1,41,1920.7571736420305,1425.2851736420303,4954.720000000001,"[2.0, 2.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 2.0, 0.0, 4.0, 2.0]"
1,42,1735.4046437535424,1367.8996437535423,3675.05,"[4.0, 4.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 4.0, 0.0, 4.0, 4.0]"
1,43,1645.3090484422762,1332.593048442276,3127.1600000000003,"[0.0, 2.0, 4.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 4.0, 4.0]"
1,44,1825.4863687661918,1389.2853687661916,4362.010000000001,"[4.0, 0.0, 2.0, 0.0, 4.0, 4.0, 2.0, 2.0, 2.0, 0.0, 4.0, 2.0, 0.0, 2.0, 4.0]"
1,45,1736.0409367508908,1455.6469367508907,2803.9400000000005,"[0.0, 0.0, 0.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 4.0, 0.0, 2.0, 2.0, 2.0, 4.0]"
1,46,1738.9939287564769,1350.1899287564768,3888.0400000000004,"[0.0, 2.0, 0.0, 4.0, 4.0, 0.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 4.0, 4.0, 0.0]"
1,47,1654.8985522351797,1395.6975522351797,2592.01,"[4.0, 2.0, 2.0, 4.0, 2.0, 2.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0]"
1,48,1735.5373393453574,1393.8363393453574,3417.01,"[4.0, 4.0, 2.0, 4.0, 0.0, 0.0, 4.0, 2.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0, 4.0]"
1,49,1817.860704164052,1493.285704164052,3245.75,"[2.0, 0.0, 0.0, 4.0, 2.0, 4.0, 0.0, 4.0, 4.0, 4.0, 2.0, 2.0, 0.0, 0.0, 0.0]"
1,50,1870.679295564908,1312.383295564908,5582.960000000001,"[4.0, 4.0, 4.0, 4.0, 2.0, 4.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0, 4.0]"
2,51,1585.5399164895232,1298.8749164895232,2866.65,"[2.0, 2.0, 4.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 2.0, 2.0, 0.0, 4.0, 2.0, 0.0]"
2,52,1603.55050759263,1362.18750759263,2413.6300000000006,"[2.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 4.0, 2.0, 2.0, 0.0, 0.0, 2.0, 0.0, 4.0]"
2,53,1735.817255248932,1455.423255248932,2803.9400000000005,"[0.0, 0.0, 0.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 2.0, 4.0]"
2,54,1702.6182926039157,1409.6282926039157,2929.9,"[0.0, 2.0, 0.0, 0.0, 4.0, 2.0, 4.0, 0.0, 0.0, 4.0, 2.0, 2.0, 2.0, 0.0, 4.0]"
2,55,1678.2662825184736,1359.2712825184735,3189.9500000000003,"[2.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 2.0, 2.0, 2.0, 0.0, 2.0, 4.0, 4.0, 2.0]"
2,56,1683.2676032221502,1285.8626032221503,3974.05,"[0.0, 2.0, 2.0, 0.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0, 0.0, 2.0, 4.0, 4.0, 4.0]"
2,57,1840.155048174237,1468.155048174237,3720.0,"[2.0, 0.0, 0.0, 4.0, 4.0, 2.0, 0.0, 2.0, 2.0, 0.0, 4.0, 2.0, 0.0, 2.0, 4.0]"
2,58,1725.7037223931347,1346.0517223931347,3796.5200000000004,"[4.0, 4.0, 2.0, 0.0, 0.0, 4.0, 2.0, 2.0, 0.0, 2.0, 4.0, 0.0, 4.0, 2.0, 0.0]"
