ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
38854,211.204,120.847,595.45,268.566,648.398,198.114,0,75.5293,135.674,2.79631
38855,613.997,159.307,293.382,311.222,252.142,184.154,0,99.5668,514.43,6.16669
38856,13.5,11.0719,318.472,808.65,314.955,818.883,0,6.91991,6.58011,1.9509
38857,706.575,162.927,427.764,286.585,355.69,174.316,0,101.829,604.745,6.93882
38858,2.9,1.30131,609.944,754.535,611.114,755.097,0,0.813319,2.08668,3.56564
38859,453.518,137.485,490.337,605.125,613.429,612.183,0,85.9282,367.59,5.27788
38860,235.105,118.786,577.592,273.44,648,197.865,0,74.2413,160.864,3.16677
38861,299.609,97.6087,227.975,275.934,249.738,185.171,0,61.0054,238.604,4.91119
38862,418.416,122.813,432.83,237.932,355.602,174.433,0,76.7584,341.658,5.45108
38863,383.814,128.166,278.558,298.893,252.725,183.928,0,80.1039,303.71,4.79146
38864,95.1991,59.9482,192.009,683.397,150.939,693.613,0,37.4677,57.7315,2.54083
38865,7.4,4.80024,650.073,133.552,654.705,132.856,0,3.00015,4.39985,2.46654
38866,193.803,86.8606,541.871,744.022,611.507,754.223,0,54.2879,139.515,3.56991
38867,1292.93,227.235,531.315,561.73,613.25,612.692,0,142.022,1150.91,9.10374
38868,273.707,93.3322,573.477,478.872,615.535,540.041,0,58.3326,215.375,4.69218
38869,0,0,405.263,68.9184,405.285,69,0,0,0,0
38870,48.6998,41.3473,322.121,778.275,313.949,818.523,0,25.8421,22.8578,1.88452
38871,7.6,5.15269,148.556,707.773,149.334,702.928,0,3.22043,4.37956,2.35993
38872,256.406,157.97,499.708,114.146,654.099,128.538,0,98.7315,157.675,2.59701
38873,351.512,139.499,228.033,594.685,144.793,616.119,0,87.187,264.325,4.0317
38874,590.603,202.287,223.869,479.482,144.708,615.663,0,126.429,464.174,4.67141
38875,527.918,214.471,512.12,260.624,648.386,198.121,0,134.044,393.874,3.93838
38876,30.6001,36.6903,187.002,715.381,153.164,701.464,0,22.9315,7.66862,1.33442
38877,544.214,139.711,569.961,425.858,615.642,539.708,0,87.3193,456.895,6.23246
38878,25.2001,16.9108,613.745,330.413,630.368,333.802,0,10.5693,14.6308,2.38428
38879,81.0993,46.3319,597.65,318.95,630.628,333.359,0,28.9575,52.1419,2.80064
38880,48.0998,23.7575,290.021,811.449,311.056,818.69,0,14.8484,33.2514,3.23939
38881,719.671,217.688,282.578,560.264,144.675,615.592,0,136.055,583.616,5.28956
38882,247.606,100.838,548.004,495.949,615.545,540.211,0,63.0239,184.582,3.92876
38883,320.61,131.87,364.484,242.962,351.05,175.249,0,82.4189,238.191,3.89001
38884,1194.76,231.491,476.912,440.144,615.576,539.641,0,144.682,1050.07,8.25782
38885,184.802,79.8667,147.644,397.231,67.1631,403.652,0,49.9167,134.885,3.70221
38886,87.0992,40.9741,571.776,806.052,606.613,811.322,0,25.6088,61.4905,3.40115
38887,253.306,118.664,247.466,743.695,152.662,701.845,0,74.1648,179.141,3.41545
38888,646.289,163.98,544.114,464.635,615.474,540.235,0,102.487,543.802,6.30604
38889,706.774,251.161,269.053,436.888,67.2712,403.879,0,156.975,549.799,4.50245
38890,1929.28,272.633,403.625,486.809,588.398,474.368,1,170.396,1758.88,11.3223
38891,90.0992,58.0509,195.682,672.258,150.89,693.586,0,36.2818,53.8174,2.48331
38892,516.721,175.961,536.95,226.398,648.276,190.878,0,109.976,406.745,4.6985
38893,618.996,136.637,527.037,672.052,613.282,613.09,0,85.3982,533.598,7.24834
38894,407.416,102.567,548.998,333.623,630.257,334.14,0,64.1042,343.311,6.35552
38895,116.499,34.003,280.887,201.363,253.194,183.429,0,21.2519,95.2469,5.48181
38896,222.404,66.0366,590.015,488.018,615.578,539.674,0,41.2729,181.131,5.38863
38897,306.81,148.16,345.677,680.877,313.227,818.216,0,92.6,214.209,3.31328
38898,1478.39,250.901,478.032,503.424,613.24,612.757,0,156.813,1321.57,9.4277
38899,558.911,208.864,363.078,644.501,312.251,818.116,0,130.54,428.37,4.28152
