ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
20738,448.218,104.674,210.81,263.938,249.529,185.223,0,65.4214,382.797,6.85125
20739,413.016,105.484,548.658,497.981,615.616,540.228,0,65.9275,347.088,6.2647
20740,376.314,130.385,303.732,286.525,253.331,182.92,0,81.4907,294.823,4.61788
20741,460.819,136.867,176.985,257.527,247.316,184.3,0,85.5418,375.277,5.38706
20742,53.7998,19.4029,603.087,736.788,612.41,751.992,0,12.1268,41.673,4.43644
20743,381.314,123.836,160.223,426.073,67.8048,405.273,0,77.3974,303.917,4.9267
20744,507.222,163.814,462.864,598.138,613.373,613.416,0,102.384,404.838,4.95413
20745,568.608,196.234,224.6,425.857,67.8485,405.24,0,122.646,445.962,4.63617
20746,793.053,242.484,459.358,426.755,630.374,334.068,0,151.553,641.501,5.23285
20747,366.913,104.216,561.437,513.223,615.5,540.243,0,65.135,301.778,5.63312
20748,391.915,133.338,523.929,646.586,613.31,613.123,0,83.3362,308.578,4.70281
20749,52.8998,24.6721,148.858,668.489,150.272,693.384,0,15.4201,37.4797,3.43058
20750,146.5,90.8625,572.201,152.059,654.22,131.718,0,56.7891,89.7106,2.57972
20751,168.301,77.9687,285.071,766.987,310.683,818.756,0,48.7304,119.571,3.45372
20752,817.048,137.313,220.12,308.682,248.326,184.796,0,85.8208,731.227,9.52039
20753,431.417,147.255,213.968,526.703,141.079,611.492,0,92.0343,339.383,4.68757
20754,326.011,156.822,281.153,689.664,150.213,693.357,0,98.0138,227.997,3.32617
20755,50.9998,26.5987,84.4084,420.204,67.1068,407.047,0,16.6242,34.3756,3.06781
20756,528.318,192.432,215.778,475.661,141.019,611.5,0,120.27,408.048,4.39277
20757,731.169,269.422,258.592,537.927,139.861,611.096,0,168.389,562.78,4.34215
20758,463.919,134.237,347.303,278.428,349.09,174.389,0,83.898,380.021,5.52956
20759,245.806,76.5455,421.132,153.846,356.24,173.444,0,47.841,197.965,5.13798
20760,1417.7,85.2653,439.03,477.4,486.209,456.358,1,53.2908,1364.41,26.6031
20761,186.902,59.1953,591.028,698.8,612.256,752.22,0,36.9971,149.905,5.05181
20762,283.008,120.714,160.293,493.122,140.001,611.092,0,75.4462,207.562,3.75113
20763,170.801,54.9537,603.292,168.62,647.679,191.835,0,34.3461,136.455,4.97295
20764,947.716,205.94,444.969,288.525,355.537,174.399,0,128.712,819.003,7.36306
20765,639.091,189.798,521.789,420.933,630.254,334.123,0,118.623,520.468,5.38756
20766,656.787,223.035,242.391,440.652,67.7141,405.525,0,139.397,517.39,4.71163
20767,552.712,197.646,238.623,373.715,67.8332,405.302,0,123.529,429.183,4.47435
20768,397.515,122.16,151.464,493.352,139.444,611.308,0,76.3501,321.165,5.20648
20769,1320.72,256.809,465.649,324.844,355.366,174.42,0,160.506,1160.22,8.22852
20770,70.0995,48.4008,192.024,626.104,144.339,617.156,0,30.2505,39.849,2.3173
20771,341.512,121.735,296.638,282.136,252.819,183.806,0,76.0845,265.427,4.48858
