step,time,alive
0,0,49369
1,1,49307
2,2,49197
3,3,49079
4,4,48972
5,5,48858
6,6,48754
7,7,48646
8,8,48547
9,9,48447
10,10,48356
11,11,48268
12,12,48181
13,13,48090
14,14,48003
15,15,47932
16,16,47851
17,17,47784
18,18,47714
19,19,47642
20,20,47582
21,21,47505
22,22,47443
23,23,47378
24,24,47306
25,25,47251
26,26,47178
27,27,47118
28,28,47054
29,29,46995
30,30,46927
31,31,46859
32,32,46798
33,33,46736
34,34,46665
35,35,46593
36,36,46534
37,37,46459
38,38,46396
39,39,46326
40,40,46257
41,41,46186
42,42,46115
43,43,46052
44,44,45983
45,45,45910
46,46,45843
47,47,45771
48,48,45699
49,49,45635
50,50,45558
51,51,45490
52,52,45419
53,53,45353
54,54,45279
55,55,45208
56,56,45135
57,57,45059
58,58,44991
59,59,44919
60,60,44848
61,61,44775
62,62,44710
63,63,44636
64,64,44563
65,65,44493
66,66,44413
67,67,44344
68,68,44279
69,69,44209
70,70,44131
71,71,44064
72,72,43989
73,73,43923
74,74,43845
75,75,43775
76,76,43695
77,77,43622
78,78,43553
79,79,43480
80,80,43405
81,81,43335
82,82,43265
83,83,43185
84,84,43112
85,85,43038
86,86,42961
87,87,42883
88,88,42814
89,89,42730
90,90,42663
91,91,42582
92,92,42510
93,93,42440
94,94,42360
95,95,42287
96,96,42215
97,97,42136
98,98,42067
99,99,41987
100,100,41921
101,101,41841
102,102,41764
103,103,41691
104,104,41613
105,105,41540
106,106,41467
107,107,41396
108,108,41328
109,109,41246
110,110,41187
111,111,41107
112,112,41041
113,113,40970
114,114,40895
115,115,40818
116,116,40756
117,117,40681
118,118,40609
119,119,40541
120,120,40472
121,121,40400
122,122,40332
123,123,40267
124,124,40196
125,125,40125
126,126,40060
127,127,39987
128,128,39909
129,129,39847
130,130,39779
131,131,39708
132,132,39645
133,133,39574
134,134,39515
135,135,39446
136,136,39380
137,137,39314
138,138,39252
139,139,39183
140,140,39115
141,141,39058
142,142,38991
143,143,38927
144,144,38868
145,145,38801
146,146,38732
147,147,38677
148,148,38610
149,149,38553
150,150,38487
151,151,38431
152,152,38355
153,153,38307
154,154,38245
155,155,38179
156,156,38120
157,157,38066
158,158,38002
159,159,37947
160,160,37891
161,161,37827
162,162,37772
163,163,37711
164,164,37657
165,165,37602
166,166,37541
167,167,37487
168,168,37428
169,169,37369
170,170,37319
171,171,37257
172,172,37200
173,173,37148
174,174,37091
175,175,37036
176,176,36969
177,177,36918
178,178,36860
179,179,36803
180,180,36745
181,181,36688
182,182,36627
183,183,36575
184,184,36514
185,185,36458
186,186,36395
187,187,36346
188,188,36283
189,189,36230
190,190,36171
191,191,36117
192,192,36068
193,193,36004
194,194,35956
195,195,35896
196,196,35842
197,197,35786
198,198,35730
199,199,35678
200,200,35622
201,201,35563
202,202,35513
203,203,35461
204,204,35400
205,205,35339
206,206,35287
207,207,35229
208,208,35172
209,209,35119
210,210,35065
211,211,35007
212,212,34957
213,213,34902
214,214,34842
215,215,34791
216,216,34732
217,217,34678
218,218,34621
219,219,34561
220,220,34508
221,221,34452
222,222,34394
223,223,34343
224,224,34287
225,225,34233
226,226,34175
227,227,34119
228,228,34067
229,229,34015
230,230,33956
231,231,33906
232,232,33843
233,233,33795
234,234,33734
235,235,33677
236,236,33623
237,237,33570
238,238,33514
239,239,33456
240,240,33403
241,241,33352
242,242,33291
243,243,33242
244,244,33181
245,245,33127
246,246,33076
247,247,33021
248,248,32966
249,249,32905
250,250,32849
251,251,32799
252,252,32747
253,253,32688
254,254,32636
255,255,32588
256,256,32530
257,257,32475
258,258,32421
259,259,32369
260,260,32318
261,261,32266
262,262,32205
263,263,32154
264,264,32093
265,265,32051
266,266,31994
267,267,31940
268,268,31894
269,269,31844
270,270,31790
271,271,31737
272,272,31692
273,273,31640
274,274,31586
275,275,31540
276,276,31491
277,277,31439
278,278,31385
279,279,31344
280,280,31287
281,281,31246
282,282,31184
283,283,31144
284,284,31088
285,285,31038
286,286,30992
287,287,30939
288,288,30894
289,289,30841
290,290,30794
291,291,30743
292,292,30697
293,293,30642
294,294,30596
295,295,30545
296,296,30502
297,297,30451
298,298,30407
299,299,30362
300,300,30308
301,301,30259
302,302,30211
303,303,30165
304,304,30118
305,305,30072
306,306,30023
307,307,29976
308,308,29924
309,309,29877
310,310,29837
311,311,29782
312,312,29736
313,313,29693
314,314,29643
