step,time,alive
0,0,49395
1,1,49338
2,2,49221
3,3,49108
4,4,48988
5,5,48877
6,6,48782
7,7,48668
8,8,48567
9,9,48467
10,10,48377
11,11,48276
12,12,48191
13,13,48106
14,14,48026
15,15,47947
16,16,47871
17,17,47793
18,18,47726
19,19,47657
20,20,47583
21,21,47510
22,22,47438
23,23,47382
24,24,47310
25,25,47241
26,26,47177
27,27,47109
28,28,47041
29,29,46981
30,30,46920
31,31,46846
32,32,46787
33,33,46713
34,34,46648
35,35,46583
36,36,46506
37,37,46444
38,38,46376
39,39,46307
40,40,46236
41,41,46167
42,42,46092
43,43,46013
44,44,45946
45,45,45874
46,46,45804
47,47,45727
48,48,45657
49,49,45585
50,50,45508
51,51,45429
52,52,45353
53,53,45285
54,54,45204
55,55,45133
56,56,45050
57,57,44973
58,58,44902
59,59,44823
60,60,44749
61,61,44677
62,62,44593
63,63,44518
64,64,44439
65,65,44366
66,66,44288
67,67,44209
68,68,44140
69,69,44052
70,70,43975
71,71,43897
72,72,43825
73,73,43743
74,74,43670
75,75,43588
76,76,43506
77,77,43431
78,78,43350
79,79,43276
80,80,43199
81,81,43118
82,82,43052
83,83,42969
84,84,42893
85,85,42815
86,86,42740
87,87,42664
88,88,42590
89,89,42509
90,90,42437
91,91,42357
92,92,42276
93,93,42196
94,94,42117
95,95,42048
96,96,41969
97,97,41892
98,98,41807
99,99,41734
100,100,41652
101,101,41586
102,102,41510
103,103,41431
104,104,41364
105,105,41286
106,106,41213
107,107,41143
108,108,41073
109,109,40996
110,110,40918
111,111,40849
112,112,40779
113,113,40708
114,114,40633
115,115,40563
116,116,40488
117,117,40413
118,118,40340
119,119,40268
120,120,40199
121,121,40123
122,122,40051
123,123,39981
124,124,39911
125,125,39838
126,126,39762
127,127,39697
128,128,39620
129,129,39550
130,130,39483
131,131,39420
132,132,39343
133,133,39278
134,134,39210
135,135,39150
136,136,39076
137,137,39013
138,138,38938
139,139,38872
140,140,38811
141,141,38739
142,142,38675
143,143,38617
144,144,38541
145,145,38478
146,146,38409
147,147,38355
148,148,38290
149,149,38226
150,150,38160
151,151,38098
152,152,38031
153,153,37972
154,154,37910
155,155,37851
156,156,37783
157,157,37716
158,158,37653
159,159,37594
160,160,37528
161,161,37469
162,162,37407
163,163,37339
164,164,37282
165,165,37226
166,166,37158
167,167,37094
168,168,37033
169,169,36970
170,170,36905
171,171,36847
172,172,36785
173,173,36721
174,174,36659
175,175,36591
176,176,36532
177,177,36471
178,178,36407
179,179,36348
180,180,36287
181,181,36223
182,182,36158
183,183,36106
184,184,36040
185,185,35981
186,186,35917
187,187,35857
188,188,35795
189,189,35728
190,190,35671
191,191,35609
192,192,35541
193,193,35478
194,194,35421
195,195,35356
196,196,35296
197,197,35233
198,198,35172
199,199,35111
200,200,35040
201,201,34985
202,202,34926
203,203,34868
204,204,34803
205,205,34746
206,206,34679
207,207,34621
208,208,34558
209,209,34497
210,210,34440
211,211,34373
212,212,34314
213,213,34252
214,214,34189
215,215,34128
216,216,34066
217,217,34005
218,218,33945
219,219,33889
220,220,33828
221,221,33775
222,222,33712
223,223,33658
224,224,33593
225,225,33538
226,226,33476
227,227,33417
228,228,33356
229,229,33301
230,230,33241
231,231,33180
232,232,33117
233,233,33058
234,234,33000
235,235,32938
236,236,32877
237,237,32823
238,238,32764
239,239,32701
240,240,32644
241,241,32578
242,242,32525
243,243,32463
244,244,32400
245,245,32348
246,246,32284
247,247,32223
248,248,32168
249,249,32105
250,250,32043
251,251,31988
252,252,31928
253,253,31860
254,254,31810
255,255,31752
256,256,31693
257,257,31643
258,258,31574
259,259,31520
260,260,31462
261,261,31406
262,262,31341
263,263,31292
264,264,31233
265,265,31178
266,266,31127
267,267,31061
268,268,31010
269,269,30953
270,270,30906
271,271,30848
272,272,30794
273,273,30735
274,274,30689
275,275,30630
276,276,30580
277,277,30517
278,278,30467
279,279,30410
280,280,30357
281,281,30307
282,282,30252
283,283,30200
284,284,30143
285,285,30088
286,286,30031
287,287,29976
288,288,29926
289,289,29874
290,290,29812
291,291,29761
292,292,29714
293,293,29652
294,294,29600
295,295,29545
296,296,29497
297,297,29439
298,298,29390
299,299,29337
300,300,29289
301,301,29229
302,302,29181
303,303,29132
304,304,29078
305,305,29019
306,306,28970
307,307,28912
308,308,28862
309,309,28817
310,310,28762
311,311,28707
312,312,28657
313,313,28604
314,314,28553
315,315,28504
316,316,28444
317,317,28404
318,318,28347
319,319,28291
320,320,28242
321,321,28186
322,322,28136
323,323,28086
324,324,28036
325,325,27982
326,326,27933
327,327,27876
328,328,27827
329,329,27775
330,330,27725
331,331,27668
332,332,27615
333,333,27564
334,334,27508
335,335,27459
336,336,27406
337,337,27360
338,338,27302
339,339,27255
340,340,27198
341,341,27154
342,342,27096
343,343,27049
344,344,26994
345,345,26944
346,346,26889
347,347,26841
348,348,26787
349,349,26732
350,350,26688
351,351,26632
352,352,26581
353,353,26530
354,354,26478
355,355,26426
356,356,26381
357,357,26325
358,358,26276
359,359,26225
360,360,26173
361,361,26119
362,362,26069
363,363,26023
364,364,25971
365,365,25918
366,366,25868
367,367,25818
368,368,25773
369,369,25718
370,370,25667
371,371,25618
372,372,25565
373,373,25516
374,374,25465
375,375,25414
376,376,25366
377,377,25311
378,378,25261
379,379,25213
380,380,25160
381,381,25112
382,382,25065
383,383,25011
384,384,24966
385,385,24912
386,386,24861
387,387,24813
388,388,24768
389,389,24716
390,390,24668
391,391,24616
392,392,24569
393,393,24520
394,394,24469
395,395,24422
396,396,24374
397,397,24326
398,398,24275
399,399,24234
400,400,24182
401,401,24137
402,402,24097
403,403,24044
404,404,24000
405,405,23952
406,406,23906
407,407,23860
408,408,23817
409,409,23761
410,410,23721
411,411,23681
412,412,23637
413,413,23591
414,414,23549
415,415,23499
416,416,23461
417,417,23416
418,418,23373
419,419,23330
420,420,23284
421,421,23237
422,422,23188
423,423,23147
424,424,23106
425,425,23054
426,426,23016
427,427,22967
428,428,22927
429,429,22878
430,430,22833
431,431,22787
432,432,22746
433,433,22694
434,434,22651
435,435,22606
436,436,22559
437,437,22515
438,438,22471
439,439,22425
440,440,22378
441,441,22341
442,442,22290
443,443,22245
444,444,22201
445,445,22161
446,446,22112
447,447,22073
448,448,22027
449,449,21982
450,450,21936
451,451,21894
452,452,21855
453,453,21813
454,454,21768
455,455,21722
456,456,21678
457,457,21630
458,458,21595
459,459,21553
460,460,21505
461,461,21470
462,462,21425
463,463,21385
464,464,21340
465,465,21297
466,466,21256
467,467,21214
468,468,21171
469,469,21126
470,470,21084
471,471,21038
472,472,20999
473,473,20952
474,474,20910
475,475,20866
476,476,20826
477,477,20782
478,478,20736
479,479,20691
480,480,20649
481,481,20605
482,482,20564
483,483,20521
484,484,20482
485,485,20441
486,486,20399
487,487,20352
488,488,20314
489,489,20271
490,490,20235
491,491,20191
492,492,20150
493,493,20109
494,494,20062
495,495,20016
496,496,19980
497,497,19938
498,498,19893
499,499,19855
500,500,19807
501,501,19769
502,502,19726
503,503,19687
504,504,19645
505,505,19600
506,506,19555
507,507,19520
508,508,19474
509,509,19432
510,510,19388
511,511,19347
512,512,19310
513,513,19269
514,514,19226
515,515,19183
516,516,19141
517,517,19101
518,518,19063
519,519,19022
520,520,18980
521,521,18940
522,522,18893
523,523,18852
524,524,18815
525,525,18773
526,526,18731
527,527,18690
528,528,18653
529,529,18609
530,530,18570
531,531,18528
532,532,18488
533,533,18451
534,534,18407
535,535,18362
536,536,18325
537,537,18280
538,538,18244
539,539,18207
540,540,18171
541,541,18128
542,542,18088
543,543,18054
544,544,18015
545,545,17972
546,546,17937
547,547,17897
548,548,17855
549,549,17824
550,550,17780
551,551,17738
552,552,17701
553,553,17664
554,554,17626
555,555,17592
556,556,17552
557,557,17515
558,558,17476
559,559,17442
560,560,17404
561,561,17366
562,562,17324
563,563,17290
