ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,381.514,140.488,309.025,278.817,253.484,182.424,0,87.8047,293.709,4.34503
2,1498.68,259.158,428.201,632.466,613.187,612.642,0,161.974,1336.71,9.2526
3,880.032,287.014,297.407,496.467,139.905,611.079,0,179.384,700.648,4.90586
4,1196.45,252.671,475.496,431.633,615.534,540.027,0,157.919,1038.54,7.57638
5,544.514,207.757,244.46,366.275,67.2166,403.694,0,129.848,414.666,4.19347
6,60.7996,37.7525,578.044,601.183,613.305,612.457,0,23.5953,37.2043,2.57677
7,221.304,125.727,531.827,119.905,653.997,128.565,0,78.5794,142.725,2.81631
8,572.307,135.239,514.579,360.485,630.356,334.088,0,84.5244,487.783,6.77091
9,437.617,91.5448,566.064,360.769,630.332,334.05,0,57.2155,380.402,7.64858
10,570.408,145.287,288.134,309.89,251.864,184.308,0,90.8046,479.603,6.2817
11,163.701,114.135,355.769,717.917,315.799,819.178,0,71.3344,92.3664,2.29484
12,1145.07,181.165,503.796,194.087,356.094,173.486,0,113.228,1031.84,10.1129
13,398.115,164.613,343.49,664.159,313.558,818.291,0,102.883,295.232,3.86959
14,40.7999,46.4624,325.153,773.648,314.171,818.617,0,29.039,11.761,1.40501
15,339.812,181.602,222.454,497.998,144.658,615.716,0,113.501,226.31,2.9939
16,51.8998,31.4367,579.207,821.544,602.562,832.764,0,19.6479,32.2518,2.64149
17,579.805,140.194,554.642,176.168,648.388,190.753,0,87.6211,492.184,6.61719
18,591.403,115.871,556.024,320.7,630.305,334.055,0,72.4196,518.983,8.16633
19,489.821,107.687,606.881,710.37,612.426,751.884,0,67.3043,422.516,7.27771
20,497.621,189.201,229.749,361.875,67.4202,404.266,0,118.251,379.37,4.20819
21,1456.59,306.175,429.508,377.696,355.36,174.453,0,191.359,1265.23,7.61182
22,70.4995,43.5661,610.105,218.283,648.049,198.041,0,27.2288,43.2707,2.58915
23,468.319,157.551,525.138,175.732,648.364,190.809,0,98.4692,369.85,4.756
24,49.9998,16.0685,264.535,194.557,253.152,183.439,0,10.0428,39.957,4.97868
25,555.311,139.255,279.747,720.462,310.764,818.772,0,87.0341,468.277,6.38039
26,205.903,107.267,130.246,459.009,67.7865,405.034,0,67.042,138.861,3.07126
27,965.511,305.236,308.367,488.861,139.854,611.103,0,190.772,774.739,5.06106
28,296.509,102.388,567.523,194.372,648.404,190.784,0,63.9925,232.516,4.6335
29,976.409,343.31,373.044,526.109,144.536,616.782,0,214.568,761.84,4.55057
30,452.118,106.986,565.515,480.209,615.634,539.557,0,66.8664,385.252,6.76152
31,928.82,182.931,444.182,287.434,356.315,173.182,0,114.332,814.488,8.12388
32,1907.58,243.506,493.063,680.492,557.396,618.867,1,152.191,1755.39,12.5341
33,60.9996,28.1964,132.494,587.703,139.489,611.233,0,17.6228,43.3769,3.46141
34,131.499,50.8659,118.026,405.228,67.5919,404.75,0,31.7912,99.7076,4.13633
35,631.493,210.81,261.695,558.505,144.719,615.702,0,131.757,499.736,4.79288
36,50.6998,25.618,628.395,128.84,653.822,129.14,0,16.0112,34.6886,3.16652
