step,time,alive
456,456,23395
457,457,23354
458,458,23315
459,459,23277
460,460,23236
461,461,23195
462,462,23154
463,463,23122
464,464,23080
465,465,23041
466,466,23003
467,467,22964
468,468,22920
469,469,22884
470,470,22843
471,471,22812
472,472,22767
473,473,22733
474,474,22688
475,475,22651
476,476,22611
477,477,22575
478,478,22535
479,479,22497
480,480,22460
481,481,22417
482,482,22379
483,483,22345
484,484,22306
485,485,22262
486,486,22231
487,487,22192
488,488,22149
489,489,22114
490,490,22068
491,491,22033
492,492,21992
493,493,21954
494,494,21918
495,495,21875
496,496,21843
497,497,21798
498,498,21762
499,499,21721
500,500,21679
501,501,21644
502,502,21606
503,503,21569
504,504,21527
505,505,21491
506,506,21451
507,507,21416
508,508,21378
509,509,21342
510,510,21303
511,511,21262
512,512,21232
513,513,21193
514,514,21156
515,515,21117
516,516,21077
517,517,21040
518,518,21001
519,519,20964
520,520,20931
521,521,20890
522,522,20849
523,523,20813
524,524,20773
525,525,20738
526,526,20698
527,527,20663
528,528,20624
529,529,20588
530,530,20549
531,531,20513
532,532,20474
533,533,20442
534,534,20401
535,535,20363
536,536,20325
537,537,20290
538,538,20256
539,539,20219
540,540,20183
541,541,20146
542,542,20109
543,543,20071
544,544,20034
545,545,19997
546,546,19962
547,547,19929
548,548,19897
549,549,19858
550,550,19820
551,551,19780
552,552,19745
553,553,19711
554,554,19676
555,555,19637
556,556,19604
557,557,19563
558,558,19533
559,559,19490
560,560,19457
561,561,19424
562,562,19392
563,563,19351
564,564,19314
565,565,19281
566,566,19247
567,567,19206
568,568,19173
569,569,19140
570,570,19104
571,571,19076
572,572,19040
573,573,19005
574,574,18973
575,575,18938
576,576,18907
577,577,18875
578,578,18842
579,579,18803
580,580,18769
581,581,18738
582,582,18701
583,583,18668
584,584,18633
585,585,18598
586,586,18567
587,587,18531
588,588,18498
589,589,18464
590,590,18431
591,591,18394
592,592,18363
593,593,18329
594,594,18297
595,595,18262
596,596,18232
597,597,18197
598,598,18171
599,599,18137
600,600,18106
601,601,18074
602,602,18040
603,603,18008
604,604,17980
605,605,17947
606,606,17914
607,607,17880
608,608,17852
609,609,17819
610,610,17785
611,611,17753
612,612,17720
613,613,17691
614,614,17655
615,615,17624
616,616,17594
617,617,17560
618,618,17533
619,619,17494
620,620,17465
621,621,17431
622,622,17398
623,623,17374
624,624,17338
625,625,17306
626,626,17275
627,627,17246
628,628,17210
629,629,17178
630,630,17155
631,631,17118
632,632,17086
633,633,17054
634,634,17019
635,635,16992
636,636,16961
637,637,16925
638,638,16893
639,639,16867
640,640,16838
641,641,16809
642,642,16784
643,643,16747
644,644,16717
645,645,16689
646,646,16660
647,647,16627
648,648,16598
649,649,16569
650,650,16538
651,651,16509
652,652,16477
653,653,16448
654,654,16416
655,655,16385
656,656,16355
657,657,16327
658,658,16300
659,659,16263
660,660,16233
661,661,16210
662,662,16175
663,663,16150
664,664,16115
665,665,16089
666,666,16058
667,667,16029
668,668,15999
669,669,15968
670,670,15938
671,671,15911
672,672,15881
673,673,15853
674,674,15823
675,675,15789
676,676,15759
677,677,15732
678,678,15705
679,679,15675
680,680,15642
681,681,15615
682,682,15584
683,683,15557
684,684,15527
685,685,15499
686,686,15470
687,687,15440
688,688,15410
689,689,15382
690,690,15352
691,691,15320
692,692,15292
693,693,15261
694,694,15229
695,695,15208
696,696,15175
697,697,15141
698,698,15110
699,699,15087
700,700,15053
701,701,15028
702,702,14998
703,703,14964
704,704,14935
705,705,14908
706,706,14880
707,707,14847
708,708,14818
709,709,14793
710,710,14762
711,711,14739
712,712,14702
713,713,14675
714,714,14650
715,715,14620
716,716,14595
717,717,14562
718,718,14535
719,719,14509
720,720,14484
721,721,14452
722,722,14427
723,723,14401
724,724,14368
725,725,14345
726,726,14317
727,727,14288
728,728,14267
729,729,14239
730,730,14214
731,731,14184
732,732,14159
733,733,14129
734,734,14102
735,735,14078
736,736,14053
737,737,14023
738,738,13999
739,739,13969
740,740,13946
741,741,13918
742,742,13889
743,743,13865
744,744,13839
745,745,13813
746,746,13786
747,747,13760
748,748,13736
749,749,13705
750,750,13682
751,751,13657
752,752,13629
753,753,13606
754,754,13577
755,755,13552
756,756,13523
757,757,13500
758,758,13474
759,759,13449
760,760,13420
761,761,13398
762,762,13370
763,763,13349
764,764,13321
765,765,13295
766,766,13267
767,767,13244
768,768,13221
769,769,13190
770,770,13169
771,771,13141
772,772,13113
773,773,13092
774,774,13066
775,775,13044
776,776,13017
777,777,12988
778,778,12968
779,779,12940
780,780,12916
781,781,12889
782,782,12862
783,783,12838
784,784,12812
785,785,12792
786,786,12765
787,787,12740
788,788,12714
789,789,12690
790,790,12668
791,791,12640
792,792,12618
793,793,12594
794,794,12566
795,795,12541
796,796,12519
797,797,12493
798,798,12469
799,799,12446
800,800,12421
801,801,12402
802,802,12380
803,803,12358
804,804,12338
805,805,12319
806,806,12300
807,807,12275
808,808,12257
809,809,12238
810,810,12217
811,811,12195
812,812,12178
813,813,12156
814,814,12137
815,815,12119
816,816,12097
817,817,12076
818,818,12058
819,819,12039
820,820,12021
821,821,12002
822,822,11980
823,823,11958
824,824,11939
825,825,11920
826,826,11903
827,827,11885
828,828,11866
829,829,11845
830,830,11829
831,831,11807
832,832,11786
833,833,11768
834,834,11752
835,835,11734
836,836,11713
837,837,11698
838,838,11682
839,839,11660
840,840,11641
841,841,11622
842,842,11605
843,843,11587
844,844,11569
845,845,11554
846,846,11536
847,847,11522
848,848,11503
849,849,11489
850,850,11471
