step,time,alive
456,456,21855
457,457,21808
458,458,21769
459,459,21725
460,460,21682
461,461,21639
462,462,21598
463,463,21555
464,464,21513
465,465,21470
466,466,21422
467,467,21383
468,468,21343
469,469,21295
470,470,21255
471,471,21213
472,472,21174
473,473,21124
474,474,21083
475,475,21043
476,476,21001
477,477,20956
478,478,20917
479,479,20874
480,480,20834
481,481,20787
482,482,20745
483,483,20702
484,484,20660
485,485,20619
486,486,20581
487,487,20536
488,488,20495
489,489,20456
490,490,20412
491,491,20369
492,492,20327
493,493,20283
494,494,20238
495,495,20197
496,496,20153
497,497,20111
498,498,20072
499,499,20027
500,500,19990
501,501,19945
502,502,19904
503,503,19857
504,504,19816
505,505,19778
506,506,19733
507,507,19695
508,508,19651
509,509,19606
510,510,19570
511,511,19529
512,512,19482
513,513,19443
514,514,19400
515,515,19359
516,516,19321
517,517,19274
518,518,19236
519,519,19195
520,520,19150
521,521,19107
522,522,19065
523,523,19021
524,524,18983
525,525,18939
526,526,18898
527,527,18858
528,528,18816
529,529,18772
530,530,18734
531,531,18689
532,532,18646
533,533,18607
534,534,18561
535,535,18516
536,536,18480
537,537,18435
538,538,18400
539,539,18362
540,540,18318
541,541,18276
542,542,18234
543,543,18189
544,544,18151
545,545,18107
546,546,18068
547,547,18025
548,548,17990
549,549,17947
550,550,17909
551,551,17868
552,552,17829
553,553,17788
554,554,17747
555,555,17714
556,556,17670
557,557,17634
558,558,17592
559,559,17556
560,560,17516
561,561,17475
562,562,17436
563,563,17397
564,564,17358
565,565,17313
566,566,17276
567,567,17238
568,568,17202
569,569,17158
570,570,17121
571,571,17080
572,572,17042
573,573,17007
574,574,16969
575,575,16927
576,576,16890
577,577,16853
578,578,16812
579,579,16774
580,580,16737
581,581,16699
582,582,16665
583,583,16626
584,584,16591
585,585,16548
586,586,16517
587,587,16477
588,588,16443
589,589,16407
590,590,16369
591,591,16329
592,592,16301
593,593,16262
594,594,16229
595,595,16187
596,596,16150
597,597,16118
598,598,16078
599,599,16044
600,600,16006
601,601,15969
602,602,15935
603,603,15896
604,604,15862
605,605,15825
606,606,15790
607,607,15753
608,608,15716
609,609,15681
610,610,15646
611,611,15604
612,612,15572
613,613,15536
614,614,15502
615,615,15465
616,616,15430
617,617,15395
618,618,15359
619,619,15320
620,620,15285
621,621,15247
622,622,15208
623,623,15176
624,624,15138
625,625,15102
626,626,15064
627,627,15030
628,628,14997
629,629,14962
630,630,14924
631,631,14889
632,632,14852
633,633,14816
634,634,14784
635,635,14745
636,636,14709
637,637,14674
638,638,14638
639,639,14601
640,640,14564
641,641,14532
642,642,14486
643,643,14458
644,644,14423
645,645,14391
646,646,14361
647,647,14322
648,648,14282
649,649,14249
650,650,14217
651,651,14182
652,652,14147
653,653,14114
654,654,14082
655,655,14044
656,656,14013
657,657,13977
658,658,13949
659,659,13912
660,660,13877
661,661,13841
662,662,13808
663,663,13776
664,664,13744
665,665,13711
666,666,13671
667,667,13641
668,668,13608
669,669,13577
670,670,13541
671,671,13507
672,672,13476
673,673,13442
674,674,13405
675,675,13370
676,676,13337
677,677,13305
678,678,13273
679,679,13240
680,680,13208
681,681,13177
682,682,13142
683,683,13110
684,684,13076
685,685,13046
686,686,13014
687,687,12982
688,688,12951
689,689,12919
690,690,12885
691,691,12855
692,692,12826
693,693,12796
694,694,12762
695,695,12733
696,696,12703
697,697,12670
698,698,12640
699,699,12615
700,700,12584
701,701,12552
702,702,12520
703,703,12494
704,704,12464
705,705,12435
706,706,12404
707,707,12372
708,708,12346
709,709,12313
710,710,12285
711,711,12253
712,712,12225
713,713,12192
714,714,12166
715,715,12131
716,716,12103
717,717,12070
718,718,12040
719,719,12011
720,720,11985
721,721,11955
722,722,11922
723,723,11897
724,724,11865
725,725,11837
726,726,11808
727,727,11778
728,728,11751
729,729,11724
730,730,11695
731,731,11667
732,732,11638
733,733,11608
734,734,11580
735,735,11557
736,736,11527
737,737,11500
738,738,11470
739,739,11440
740,740,11414
741,741,11382
742,742,11358
743,743,11328
744,744,11302
745,745,11274
746,746,11249
747,747,11217
748,748,11188
749,749,11166
750,750,11132
751,751,11110
752,752,11084
753,753,11054
754,754,11027
755,755,11001
756,756,10971
757,757,10945
758,758,10919
759,759,10891
760,760,10860
761,761,10838
762,762,10812
763,763,10779
764,764,10756
765,765,10728
766,766,10703
767,767,10676
768,768,10648
769,769,10619
770,770,10596
771,771,10566
772,772,10540
773,773,10514
774,774,10485
775,775,10462
776,776,10432
777,777,10406
778,778,10379
779,779,10353
780,780,10327
781,781,10299
782,782,10275
783,783,10248
784,784,10223
785,785,10194
786,786,10170
787,787,10146
788,788,10122
789,789,10095
790,790,10075
791,791,10048
792,792,10027
793,793,10003
794,794,9981
795,795,9954
796,796,9931
797,797,9909
798,798,9887
799,799,9865
800,800,9846
801,801,9820
802,802,9801
803,803,9780
804,804,9757
805,805,9736
806,806,9713
807,807,9695
808,808,9675
809,809,9653
810,810,9636
811,811,9612
812,812,9592
813,813,9574
814,814,9552
815,815,9532
816,816,9508
817,817,9489
818,818,9470
819,819,9449
820,820,9431
821,821,9408
822,822,9391
823,823,9371
824,824,9349
825,825,9327
826,826,9308
827,827,9287
828,828,9268
829,829,9246
830,830,9226
831,831,9209
832,832,9184
833,833,9168
834,834,9148
835,835,9125
836,836,9103
837,837,9084
838,838,9064
839,839,9046
840,840,9024
841,841,9007
842,842,8984
843,843,8962
844,844,8943
845,845,8927
846,846,8906
847,847,8884
848,848,8859
849,849,8843
850,850,8823
851,851,8801
852,852,8779
853,853,8762
854,854,8740
855,855,8721
856,856,8702
857,857,8686
858,858,8668
859,859,8653
860,860,8632
861,861,8615
862,862,8600
863,863,8579
864,864,8562
865,865,8542
866,866,8528
867,867,8506
868,868,8490
869,869,8473
870,870,8455
871,871,8440
872,872,8419
873,873,8403
874,874,8386
875,875,8366
876,876,8350
877,877,8332
878,878,8314
879,879,8296
880,880,8280
881,881,8260
882,882,8242
883,883,8223
884,884,8206
885,885,8188
886,886,8170
887,887,8148
888,888,8134
889,889,8118
890,890,8100
891,891,8084
892,892,8065
893,893,8049
894,894,8029
895,895,8011
896,896,7995
897,897,7975
898,898,7962
899,899,7940
900,900,7924
901,901,7905
902,902,7887
903,903,7871
904,904,7852
905,905,7835
906,906,7814
907,907,7801
908,908,7781
909,909,7763
910,910,7748
911,911,7734
912,912,7713
913,913,7693
914,914,7680
915,915,7660
916,916,7641
917,917,7624
918,918,7603
919,919,7589
920,920,7571
921,921,7557
922,922,7539
923,923,7522
924,924,7503
925,925,7487
926,926,7472
927,927,7454
928,928,7438
929,929,7421
930,930,7401
931,931,7386
932,932,7370
933,933,7355
934,934,7335
935,935,7317
936,936,7303
937,937,7283
938,938,7267
939,939,7249
940,940,7233
941,941,7214
942,942,7200
943,943,7184
944,944,7166
945,945,7149
946,946,7136
947,947,7118
948,948,7106
949,949,7087
950,950,7072
951,951,7057
952,952,7046
953,953,7029
954,954,7016
955,955,7005
956,956,6988
957,957,6973
958,958,6961
959,959,6950
960,960,6934
961,961,6919
962,962,6906
963,963,6892
964,964,6877
965,965,6863
966,966,6848
967,967,6834
968,968,6824
969,969,6808
970,970,6793
