ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,493.121,109.442,403.874,232.301,355.431,174.467,0,68.4012,424.72,7.20924
2,1426.8,282.643,421.104,437.821,599.66,512.746,1,176.652,1250.15,8.07691
3,1412.1,307.379,440.654,364.536,355.187,174.483,0,192.112,1219.99,7.35041
4,127.499,101.767,344.771,723.488,314.867,818.892,0,63.6042,63.8944,2.00456
5,16.9,10.0036,77.7299,404.877,67.7362,404.847,0,6.25224,10.6478,2.70304
6,582.105,135.23,209.368,308.12,249.582,185.22,0,84.5186,497.586,6.8873
7,694.378,150.317,464.048,169.067,356.239,173.263,0,93.9479,600.43,7.39109
8,599.901,193.387,326.038,338.819,253.529,182.658,0,120.867,479.033,4.9633
9,1088.08,238.915,463.244,435.662,615.663,539.629,0,149.322,938.759,7.28681
10,801.251,247.657,307.628,376.259,250.205,185.001,0,154.786,646.466,5.17652
11,898.028,244.249,457.268,422.889,630.302,334.051,0,152.655,745.372,5.88271
12,201.403,79.2386,574.581,128.585,653.588,129.621,0,49.5241,151.879,4.06677
13,505.722,159.603,527.357,402.943,630.354,334.466,0,99.7517,405.97,5.06981
14,504.722,143.127,462.992,161.322,356.128,173.51,0,89.4544,415.267,5.64222
15,42.0999,29.3574,625.946,137.506,654.174,131.666,0,18.3484,23.7515,2.29448
16,1360.51,475.46,450.28,513.243,613.188,612.846,0,297.163,1063.35,4.57835
17,260.507,106.369,551.386,133.179,653.658,130.505,0,66.4806,194.026,3.91853
18,543.614,198.927,329.601,633.348,312.426,818.078,0,124.329,419.285,4.37237
19,535.316,137.834,394.997,245.703,355.287,174.528,0,86.1462,449.17,6.21405
20,504.222,129.69,259.648,742.815,310.972,818.723,0,81.0563,423.165,6.22063
21,245.706,142.17,382.751,706.407,315.902,819.281,0,88.8562,156.85,2.76521
22,1426.8,270.333,446.721,442.477,606.15,536.213,1,168.958,1257.84,8.44468
23,489.921,151.982,498.421,619.381,613.669,614.218,0,94.9886,394.932,5.15768
24,671.083,196.701,519.63,226.088,648.457,190.821,0,122.938,548.145,5.45871
25,1079.78,276.638,463.217,429.382,630.289,334.147,0,172.899,906.885,6.24518
26,450.818,165.003,498.836,326.707,630.836,332.684,0,103.127,347.692,4.3715
27,1208.65,330.974,423.044,561.22,613.254,613.21,0,206.858,1001.79,5.84289
28,1401.2,309.601,429.835,431.667,615.502,540.237,0,193.5,1207.7,7.24136
29,332.611,98.8764,557.207,697.424,611.959,752.992,0,61.7978,270.813,5.38225
30,1041.29,286.044,430.423,593.669,613.407,613.326,0,178.778,862.515,5.82451
31,194.403,110.595,164.532,381.743,67.0392,403.209,0,69.1218,125.281,2.81247
32,465.919,160.908,501.506,362.451,630.679,333.131,0,100.567,365.352,4.63291
33,413.016,128.188,538.757,689.65,611.995,752.76,0,80.1175,332.899,5.15513
34,50.1998,23.8445,578.409,834.449,602.489,833.701,0,14.9028,35.297,3.36848
35,214.604,92.1677,116.277,457.71,67.63,405.861,0,57.6048,156.999,3.72545
36,223.904,82.3464,269.056,261.221,251.52,184.386,0,51.4665,172.438,4.35049
37,245.906,121.87,322.394,712.813,312.675,817.968,0,76.1689,169.737,3.22843
38,572.407,186.36,206.729,436.339,67.7185,405.56,0,116.475,455.932,4.91443
39,634.392,259.007,281.696,435.385,66.8127,402.688,0,161.88,472.513,3.91891
40,218.704,92.7952,234.777,629.894,144.788,616.182,0,57.997,160.707,3.77096
41,478.32,98.2926,610.743,680.598,612.409,751.892,0,61.4329,416.887,7.78606
42,181.202,76.1463,143.159,397.853,67.3184,403.795,0,47.5915,133.61,3.80745
43,275.808,83.1453,590.463,188.93,647.752,191.849,0,51.9658,223.842,5.30748
44,362.713,170.549,366.472,679.324,313.89,818.351,0,106.593,256.12,3.40278
45,272.907,102.429,166.769,406.812,67.2968,403.755,0,64.0179,208.89,4.26299
46,1426.8,283.143,394.868,440.237,341.54,262.505,1,176.964,1249.83,8.06264
47,670.583,255.162,322.011,385.403,252.136,184.105,0,159.476,511.107,4.20491
48,79.0994,81.3786,335.773,740.743,315.129,818.969,0,50.8616,28.2378,1.55519
49,436.717,122.112,183.759,261.045,247.817,184.469,0,76.3198,360.398,5.7222
50,765.86,277.281,295.651,450.795,67.6735,404.768,0,173.301,592.559,4.41926
51,198.803,67.973,187.282,654.152,149.644,693.224,0,42.4831,156.32,4.67957
52,582.705,212.446,514.251,226.743,648.279,190.854,0,132.779,449.926,4.38853
53,218.904,123.897,556.245,167.641,654.31,132.045,0,77.4353,141.469,2.82693
54,450.918,169.252,461.809,577.217,613.251,612.435,0,105.783,345.136,4.26269
55,340.212,139.993,518.673,126.67,653.615,130.359,0,87.4957,252.716,3.88832
56,96.2991,47.6078,607.01,135.312,653.864,131.091,0,29.7549,66.5443,3.23642
57,712.773,287.853,308.235,425.777,66.9093,402.857,0,179.908,532.865,3.96187
58,164.001,55.1211,311.225,774.117,311.248,818.598,0,34.4507,129.55,4.76045
59,428.717,136.533,159.795,479.095,139.43,611.256,0,85.3328,343.384,5.02406
60,1094.48,242.897,369.419,366.008,349.594,174.647,0,151.81,942.669,7.20952
61,1426.8,236.799,483.294,481.146,599.88,518.232,1,147.999,1278.8,9.64058
62,933.019,241.744,501.741,485.482,613.62,611.747,0,151.09,781.929,6.17525
